Feature 63	 Weight = 0.9411714977979657069315290940
Feature 45	 Weight = 0.8956799159865522119346019820
Feature 32	 Weight = 0.8593787823732690196330267529
Feature 89	 Weight = 0.8238311912437456054505714710
Feature 16	 Weight = 0.8206400353361910441224216413
Feature 44	 Weight = 0.8179018244326995942124599748
Feature 43	 Weight = 0.8031012033331720177807469079
Feature 62	 Weight = 0.7924234055276256348816122870
Feature 31	 Weight = 0.7871800867153870435583177090
Feature 23	 Weight = 0.7747382424158493954921042582
Feature 15	 Weight = 0.7660368420467024309791773191
Feature 22	 Weight = 0.7655981615340023347249976005
Feature 41	 Weight = 0.7532716468820263943814139535
Feature 11	 Weight = 0.7488223282246353334883348643
Feature 05	 Weight = 0.7486582339250303101913275604
Feature 30	 Weight = 0.7401018267850576522149876624
Feature 29	 Weight = 0.7387021107928305208409491407
Feature 57	 Weight = 0.7382238626358414590749180611
Feature 88	 Weight = 0.7370552146176376727178478950
Feature 59	 Weight = 0.7362055625221544196399644767
Feature 10	 Weight = 0.7354812585785512608273439641
Feature 42	 Weight = 0.7354118669996004071311946280
Feature 20	 Weight = 0.7311594461016826213138193105
Feature 21	 Weight = 0.7305030750632836292780720920
Feature 61	 Weight = 0.7305030750632836292780720920
Feature 14	 Weight = 0.7255606870456334748174679872
Feature 40	 Weight = 0.7239199957441954217414171752
Feature 03	 Weight = 0.7223923490112415380078884460
Feature 07	 Weight = 0.7177862555068182386058763444
Feature 01	 Weight = 0.7173934639750608465709299287
Feature 27	 Weight = 0.7159670115662481201829356866
Feature 60	 Weight = 0.7135359978350605840000304921
Feature 28	 Weight = 0.7127753350406601817814526924
Feature 02	 Weight = 0.7072781927514492700894746915
Feature 39	 Weight = 0.7064333350773893075970731738
Feature 00	 Weight = 0.7054411697387269400091330013
Feature 58	 Weight = 0.6827822166504831362299831558
Feature 08	 Weight = 0.6813708934459954992575827068
Feature 55	 Weight = 0.6794376488824162467168531286
Feature 19	 Weight = 0.6778553724835784424979547767
Feature 09	 Weight = 0.6747525929550071673770518501
Feature 56	 Weight = 0.6725413710867166575479104304
Feature 38	 Weight = 0.6609781951808075918564059041
Feature 13	 Weight = 0.6547893238133287225575391209
Feature 37	 Weight = 0.6522994810143722147320215646
Feature 26	 Weight = 0.6405260471294744420147011214
Feature 87	 Weight = 0.6402862195091949287472284237
Feature 06	 Weight = 0.6342830609391252469735335079
Feature 53	 Weight = 0.6305339512065498580365387042
Feature 54	 Weight = 0.6279620674178119397147994931
Feature 86	 Weight = 0.6238310459057477501389181009
Feature 46	 Weight = 0.6236398956384625095533264749
Feature 82	 Weight = 0.6095252016473282429228961324
Feature 04	 Weight = 0.5996332757525360903123773651
Feature 52	 Weight = 0.5995429716719494622628829815
Feature 83	 Weight = 0.5840615396503040721165990353
Feature 33	 Weight = 0.5805196493700589171368206522
Feature 36	 Weight = 0.5788847085445691194215185784
Feature 25	 Weight = 0.5559194564920982136824309692
Feature 79	 Weight = 0.5498671976450855332404941152
Feature 18	 Weight = 0.5482140964998875603648380297
Feature 50	 Weight = 0.5446476949181789422219665813
Feature 51	 Weight = 0.5432425866937307193745792177
Feature 85	 Weight = 0.5356859595447544205562676155
Feature 84	 Weight = 0.5334617268456453097580085761
Feature 35	 Weight = 0.5302546857836761519826586166
Feature 80	 Weight = 0.5159954133060382798341275718
Feature 77	 Weight = 0.4943926467520114490152186016
Feature 34	 Weight = 0.4715468008373162682268768111
Feature 49	 Weight = 0.4671318102450159943022884825
Feature 12	 Weight = 0.4637227333884732222150226976
Feature 17	 Weight = 0.4609290459124467730864212075
Feature 81	 Weight = 0.4477742009230252618230343748
Feature 75	 Weight = 0.4448537730340995283079342188
Feature 24	 Weight = 0.4336256459696502690369965862
Feature 73	 Weight = 0.4306026002142070337661941661
Feature 76	 Weight = 0.4268667231694602169859732855
Feature 48	 Weight = 0.4090365690422672542864795583
Feature 74	 Weight = 0.4021328231834858150306593875
Feature 78	 Weight = 0.4018445690385712416257881891
Feature 47	 Weight = 0.3990177390127649882264671698
Feature 72	 Weight = 0.3902287921349774583652836303
Feature 71	 Weight = 0.3515192267541112462080738858
Feature 69	 Weight = 0.3328530387980844028381219220
Feature 70	 Weight = 0.3242142089395227223350853588
Feature 67	 Weight = 0.2895177292529815560883203806
Feature 68	 Weight = 0.2855365934706009335434978532
Feature 66	 Weight = 0.2765988981570256368913191712
Feature 64	 Weight = 0.2747006056494246521041457827
Feature 65	 Weight = 0.2718811823752402263853954832
Feature 90	 Weight = 0.1780485068551602323513759197
